Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,55,20,0,14,41
10,Success,35,44,0,12,23
10,Success,53,29,0,9,44
10,Success,39,35,0,17,22
10,Success,41,30,0,17,24
10,Success,47,26,1,11,36
10,Success,52,23,2,15,37
10,Success,51,22,3,13,38
10,Success,49,24,0,13,36
10,Success,47,28,2,10,37
10,Success,57,22,2,8,49
10,Success,53,22,0,14,39
10,Success,56,17,2,12,44
10,Success,45,32,0,13,32
10,Success,51,26,0,12,39
10,Success,51,29,0,11,40
10,Success,47,34,0,9,38
10,Success,56,23,0,9,47
10,Success,47,26,7,13,34
10,Success,44,22,4,21,23
10,Success,44,32,5,12,32
10,Success,46,33,0,11,35
10,Success,53,25,0,12,41
10,Success,45,25,0,17,28
10,Success,47,29,0,11,36
10,Success,49,22,5,14,35
10,Success,51,23,0,9,42
10,Success,52,32,0,8,44
10,Success,48,29,0,12,36
10,Success,52,22,4,9,43
10,Success,48,30,3,9,39
10,Success,36,42,0,16,20
10,Success,54,23,0,13,41
10,Success,52,22,1,16,36
10,Success,50,23,9,10,40
10,Success,49,20,2,16,33
10,Success,45,31,2,11,34
10,Success,52,25,0,10,42
10,Success,48,24,6,11,37
10,Success,41,29,1,19,22
10,Success,54,27,2,6,48
10,Success,46,27,0,16,30
10,Success,42,36,0,11,31
10,Success,46,19,3,19,27
10,Success,50,30,0,13,37
10,Success,49,27,0,13,36
10,Success,46,32,5,7,39
10,Success,51,22,5,12,39
10,Success,39,36,0,16,23
10,Success,45,28,4,15,30
10,Success,49,23,0,14,35
10,Success,51,27,0,12,39
10,Success,48,29,0,14,34
10,Success,51,31,0,6,45
10,Success,55,18,0,13,42
10,Success,51,24,0,11,40
10,Success,49,33,0,6,43
10,Success,52,23,1,10,42
10,Success,55,22,0,9,46
10,Success,58,18,1,9,49
10,Success,47,25,6,13,34
10,Success,51,29,0,8,43
10,Success,45,32,0,11,34
10,Success,51,23,3,11,40
10,Success,47,24,1,15,32
10,Success,46,26,8,11,35
10,Success,45,26,5,15,30
10,Success,43,23,11,14,29
10,Success,54,26,0,10,44
10,Success,46,36,0,10,36
10,Success,44,29,5,12,32
10,Success,52,22,0,14,38
10,Success,47,30,0,10,37
10,Success,51,32,1,5,46
10,Success,42,32,7,9,33
10,Success,51,37,0,6,45
10,Success,42,31,4,15,27
10,Success,46,24,1,17,29
10,Success,49,26,3,11,38
10,Success,53,23,0,16,37
10,Success,51,22,2,16,35
10,Success,43,24,4,16,27
10,Success,52,33,0,6,46
10,Success,51,26,1,11,40
10,Success,47,23,7,15,32
10,Success,50,29,1,9,41
10,Success,48,24,9,12,36
10,Success,45,21,0,20,25
10,Success,50,20,4,15,35
10,Success,47,32,0,12,35
10,Success,52,30,0,11,41
10,Success,45,25,6,17,28
10,Success,51,20,5,17,34
10,Success,44,31,0,13,31
10,Success,56,16,6,8,48
10,Success,49,27,0,14,35
10,Success,40,32,8,16,24
10,Success,52,21,6,10,42
10,Success,46,28,0,17,29
10,Success,40,31,6,16,24
10,Success,48,32,0,9,39
10,Success,44,28,14,7,37
10,Success,43,30,0,16,27
10,Success,51,26,2,9,42
10,Success,47,21,6,14,33
10,Success,48,31,0,10,38
10,Success,43,36,0,13,30
10,Success,46,35,0,11,35
10,Success,45,32,0,14,31
10,Success,46,32,2,11,35
10,Success,46,21,5,17,29
10,Success,48,26,0,14,34
10,Success,45,25,5,13,32
10,Success,51,21,3,11,40
10,Success,45,26,0,15,30
10,Success,50,21,3,15,35
10,Success,49,28,0,12,37
10,Success,45,27,7,11,34
10,Success,48,22,2,12,36
10,Success,49,18,6,18,31
10,Success,39,38,0,15,24
10,Success,47,35,0,8,39
10,Success,46,24,0,19,27
10,Success,50,26,1,11,39
10,Success,54,19,3,12,42
10,Success,54,26,1,8,46
10,Success,56,19,0,14,42
10,Success,50,18,4,12,38
10,Success,51,19,8,13,38
10,Success,44,29,0,12,32
10,Success,45,25,5,14,31
10,Success,47,25,5,11,36
10,Success,48,24,4,13,35
10,Success,44,24,6,15,29
10,Success,51,24,0,14,37
10,Success,41,36,0,12,29
10,Success,52,22,0,17,35
10,Success,52,23,0,15,37
10,Success,44,29,0,15,29
10,Success,50,25,0,13,37
10,Success,52,21,0,14,38
10,Success,54,26,0,9,45
10,Success,46,30,0,12,34
10,Success,56,17,2,16,40
10,Success,46,30,0,14,32
10,Success,42,31,7,11,31
