Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,53,23,0,12,41.0
10.0,Success,0,50,24,0,14,36.0
10.0,Success,0,57,22,0,11,46.0
10.0,Success,0,50,24,8,9,41.0
10.0,Success,0,53,26,0,10,43.0
10.0,Success,0,41,33,0,13,28.000000000000004
10.0,Success,0,47,33,0,12,35.0
10.0,Success,0,40,32,0,16,24.0
10.0,Success,0,41,30,6,14,27.0
10.0,Success,0,52,19,0,18,34.0
10.0,Success,0,46,29,0,13,33.0
10.0,Success,0,50,24,0,15,35.0
10.0,Success,0,48,31,0,13,35.0
10.0,Success,0,48,30,0,8,40.0
10.0,Success,0,48,26,0,15,33.0
10.0,Success,0,43,35,0,12,31.0
10.0,Success,0,46,24,9,9,37.0
10.0,Success,0,50,21,3,14,36.0
10.0,Success,0,46,33,0,8,38.0
10.0,Success,0,36,27,6,22,14.000000000000002
10.0,Success,0,51,30,0,14,37.0
10.0,Success,0,44,28,1,16,28.000000000000004
10.0,Success,0,49,26,0,14,35.0
10.0,Success,0,53,23,2,14,39.0
10.0,Success,0,53,15,5,12,41.0
10.0,Success,0,51,25,3,9,42.0
10.0,Success,0,54,21,2,12,42.0
10.0,Success,0,46,34,0,10,36.0
10.0,Success,0,45,39,0,6,39.0
10.0,Success,0,40,35,0,12,28.000000000000004
10.0,Success,0,51,24,0,11,40.0
10.0,Success,0,42,25,7,18,24.0
10.0,Success,0,48,27,0,13,35.0
10.0,Success,0,53,28,0,14,39.0
10.0,Success,0,46,28,0,14,32.0
10.0,Success,0,40,33,0,17,23.0
10.0,Success,0,50,26,1,12,38.0
10.0,Success,0,51,21,0,19,32.0
10.0,Success,0,53,21,1,13,40.0
10.0,Success,0,49,27,0,12,37.0
10.0,Success,0,45,29,6,8,37.0
10.0,Success,0,43,35,0,12,31.0
10.0,Success,0,49,30,0,9,40.0
10.0,Success,0,45,27,0,19,26.0
10.0,Success,0,54,27,1,7,47.0
10.0,Success,0,53,23,2,9,44.0
10.0,Success,0,48,30,0,9,39.0
10.0,Success,0,52,22,0,16,36.0
10.0,Success,0,54,23,4,8,46.0
10.0,Success,0,56,21,1,13,43.0
10.0,Success,0,50,18,10,15,35.0
10.0,Success,0,43,32,0,10,33.0
10.0,Success,0,46,27,1,12,34.0
10.0,Success,0,59,22,0,8,51.0
10.0,Success,0,47,32,0,11,36.0
10.0,Success,0,54,17,4,11,43.0
10.0,Success,0,48,24,1,15,33.0
10.0,Success,0,49,29,7,7,42.0
10.0,Success,0,46,34,0,15,31.0
10.0,Success,0,44,31,0,17,27.0
10.0,Success,0,46,36,0,11,35.0
10.0,Success,0,44,27,7,14,30.0
10.0,Success,0,44,29,3,15,28.999999999999996
10.0,Success,0,49,24,0,14,35.0
10.0,Success,0,51,21,6,10,41.0
10.0,Success,0,54,26,0,8,46.0
10.0,Success,0,45,25,3,12,33.0
10.0,Success,0,48,22,1,14,34.0
10.0,Success,0,47,27,6,8,39.0
10.0,Success,0,55,23,3,7,48.0
10.0,Success,0,45,25,2,14,31.0
10.0,Success,0,50,24,1,14,36.0
10.0,Success,0,59,19,0,11,48.0
10.0,Success,0,46,29,4,11,35.0
10.0,Success,0,41,28,0,15,26.0
10.0,Success,0,56,20,0,13,43.0
10.0,Success,0,49,28,0,12,37.0
10.0,Success,0,50,23,0,12,38.0
10.0,Success,0,41,36,0,14,27.0
10.0,Success,0,45,24,3,13,32.0
10.0,Success,0,62,15,0,13,49.0
10.0,Success,0,45,24,0,21,24.0
10.0,Success,0,56,17,0,12,44.0
10.0,Success,0,53,18,9,10,43.0
10.0,Success,0,52,19,8,12,40.0
10.0,Success,0,48,26,0,14,34.0
10.0,Success,0,56,16,0,9,47.0
10.0,Success,0,52,29,0,8,44.0
10.0,Success,0,49,27,0,8,41.0
10.0,Success,0,58,21,0,8,50.0
10.0,Success,0,51,26,0,10,41.0
10.0,Success,0,53,19,0,12,41.0
10.0,Success,0,54,25,0,10,44.0
10.0,Success,0,48,33,0,12,36.0
10.0,Success,0,52,21,4,10,42.0
10.0,Success,0,43,32,0,15,28.000000000000004
10.0,Success,0,49,30,0,10,39.0
10.0,Success,0,43,34,0,16,27.0
10.0,Success,0,43,27,0,18,25.0
10.0,Success,0,45,24,1,18,27.0
10.0,Success,0,53,21,2,12,41.0
10.0,Success,0,42,26,9,12,30.0
10.0,Success,0,45,21,5,19,26.0
10.0,Success,0,40,29,1,18,22.0
10.0,Success,0,53,30,0,8,45.0
10.0,Success,0,41,24,9,16,25.0
10.0,Success,0,49,36,0,10,39.0
10.0,Success,0,45,33,0,14,31.0
10.0,Success,0,42,27,4,16,26.0
10.0,Success,0,51,22,5,13,38.0
10.0,Success,0,43,25,2,18,25.0
10.0,Success,0,53,17,2,19,34.0
10.0,Success,0,59,21,0,12,47.0
10.0,Success,0,43,26,7,16,27.0
10.0,Success,0,44,35,0,11,33.0
10.0,Success,0,49,18,7,16,33.0
10.0,Success,0,47,29,0,14,33.0
10.0,Success,0,46,33,0,10,36.0
10.0,Success,0,50,27,0,15,35.0
10.0,Success,0,48,31,0,12,36.0
10.0,Success,0,57,19,0,12,45.0
10.0,Success,0,43,36,0,14,28.999999999999996
10.0,Success,0,36,36,0,18,18.0
10.0,Success,0,47,21,5,17,30.0
10.0,Success,0,55,27,0,10,45.0
10.0,Success,0,50,25,0,12,38.0
