Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,45,28,0,18,45.0
10.0,Success,0,61,17,3,8,61.0
10.0,Success,0,50,33,0,7,50.0
10.0,Success,0,46,30,0,13,46.0
10.0,Success,0,50,29,0,11,50.0
10.0,Success,0,50,24,0,11,50.0
10.0,Success,0,52,19,3,15,52.0
10.0,Success,0,47,21,8,13,47.0
10.0,Success,0,52,21,2,14,52.0
10.0,Success,0,53,23,3,10,53.0
10.0,Success,0,45,18,10,17,45.0
10.0,Success,0,47,27,2,9,47.0
10.0,Success,0,51,29,0,11,51.0
10.0,Success,0,36,40,5,14,36.0
10.0,Success,0,42,27,8,14,42.0
10.0,Success,0,48,23,7,10,48.0
10.0,Success,0,49,27,0,14,49.0
10.0,Success,0,47,26,3,13,47.0
10.0,Success,0,44,32,0,13,44.0
10.0,Success,0,45,24,6,15,45.0
10.0,Success,0,54,19,2,14,54.0
10.0,Success,0,49,28,4,11,49.0
10.0,Success,0,50,26,1,13,50.0
10.0,Success,0,47,21,3,19,47.0
10.0,Success,0,42,34,0,14,42.0
10.0,Success,0,53,22,0,8,53.0
10.0,Success,0,47,28,4,12,47.0
10.0,Success,0,46,33,0,10,46.0
10.0,Success,0,44,34,1,12,44.0
10.0,Success,0,54,18,0,15,54.0
10.0,Success,0,51,25,3,9,51.0
10.0,Success,0,52,29,4,7,52.0
10.0,Success,0,54,20,0,15,54.0
10.0,Success,0,56,20,5,11,56.00000000000001
10.0,Success,0,44,32,0,18,44.0
10.0,Success,0,52,20,1,15,52.0
10.0,Success,0,47,37,0,11,47.0
10.0,Success,0,45,30,0,12,45.0
10.0,Success,0,50,31,3,7,50.0
10.0,Success,0,55,21,5,10,55.00000000000001
10.0,Success,0,48,28,0,11,48.0
10.0,Success,0,52,24,1,11,52.0
10.0,Success,0,53,16,11,12,53.0
10.0,Success,0,47,35,0,12,47.0
10.0,Success,0,52,27,1,8,52.0
10.0,Success,0,48,33,0,10,48.0
10.0,Success,0,46,22,4,15,46.0
10.0,Success,0,45,23,3,15,45.0
10.0,Success,0,55,26,0,12,55.00000000000001
10.0,Success,0,47,25,6,14,47.0
10.0,Success,0,42,32,1,13,42.0
10.0,Success,0,39,32,9,14,39.0
10.0,Success,0,44,36,0,13,44.0
10.0,Success,0,45,33,0,13,45.0
10.0,Success,0,52,28,0,12,52.0
10.0,Success,0,44,31,3,11,44.0
10.0,Success,0,42,38,0,9,42.0
10.0,Success,0,38,28,10,16,38.0
10.0,Success,0,53,19,0,18,53.0
10.0,Success,0,52,18,2,16,52.0
10.0,Success,0,54,23,1,15,54.0
10.0,Success,0,47,26,8,8,47.0
10.0,Success,0,45,26,6,15,45.0
10.0,Success,0,46,28,0,16,46.0
10.0,Success,0,47,29,4,10,47.0
10.0,Success,0,52,19,6,9,52.0
10.0,Success,0,46,28,5,11,46.0
10.0,Success,0,57,17,2,13,56.99999999999999
10.0,Success,0,51,23,0,13,51.0
10.0,Success,0,47,26,1,14,47.0
10.0,Success,0,46,32,0,13,46.0
10.0,Success,0,49,23,4,13,49.0
10.0,Success,0,46,21,7,15,46.0
10.0,Success,0,51,19,13,10,51.0
10.0,Success,0,48,23,12,12,48.0
10.0,Success,0,44,31,0,14,44.0
10.0,Success,0,51,20,1,17,51.0
10.0,Success,0,51,18,5,18,51.0
10.0,Success,0,49,25,0,11,49.0
10.0,Success,0,46,34,0,13,46.0
10.0,Success,0,48,35,0,7,48.0
10.0,Success,0,53,27,0,13,53.0
10.0,Success,0,53,27,2,10,53.0
10.0,Success,0,48,32,0,13,48.0
10.0,Success,0,44,29,7,13,44.0
10.0,Success,0,47,23,0,14,47.0
10.0,Success,0,49,24,2,14,49.0
10.0,Success,0,54,22,0,13,54.0
10.0,Success,0,49,23,4,15,49.0
10.0,Success,0,55,19,1,12,55.00000000000001
10.0,Success,0,49,26,5,9,49.0
10.0,Success,0,49,24,0,15,49.0
10.0,Success,0,51,23,0,12,51.0
10.0,Success,0,48,23,0,19,48.0
10.0,Success,0,50,28,0,13,50.0
10.0,Success,0,48,29,1,11,48.0
10.0,Success,0,47,26,0,14,47.0
10.0,Success,0,50,16,10,14,50.0
10.0,Success,0,49,28,2,8,49.0
10.0,Success,0,47,23,11,9,47.0
10.0,Success,0,56,23,0,12,56.00000000000001
10.0,Success,0,40,31,0,19,40.0
10.0,Success,0,40,27,6,18,40.0
10.0,Success,0,50,23,0,19,50.0
10.0,Success,0,48,27,0,15,48.0
10.0,Success,0,44,35,0,13,44.0
10.0,Success,0,49,22,9,11,49.0
10.0,Success,0,39,38,0,17,39.0
10.0,Success,0,41,28,2,19,41.0
10.0,Success,0,50,22,6,13,50.0
10.0,Success,0,54,24,0,12,54.0
10.0,Success,0,52,18,2,12,52.0
10.0,Success,0,43,34,7,12,43.0
10.0,Success,0,55,28,0,12,55.00000000000001
10.0,Success,0,46,30,3,13,46.0
10.0,Success,0,49,26,0,13,49.0
10.0,Success,0,51,26,0,13,51.0
10.0,Success,0,55,16,9,11,55.00000000000001
10.0,Success,0,54,22,1,12,54.0
