Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,44,34,1,12,44
10,Success,54,18,0,15,54
10,Success,51,25,3,9,51
10,Success,52,29,4,7,52
10,Success,54,20,0,15,54
10,Success,56,20,5,11,56
10,Success,44,32,0,18,44
10,Success,52,20,1,15,52
10,Success,47,37,0,11,47
10,Success,45,30,0,12,45
10,Success,50,31,3,7,50
10,Success,55,21,5,10,55
10,Success,48,28,0,11,48
10,Success,52,24,1,11,52
10,Success,53,16,11,12,53
10,Success,47,35,0,12,47
10,Success,52,27,1,8,52
10,Success,48,33,0,10,48
10,Success,46,22,4,15,46
10,Success,45,23,3,15,45
10,Success,55,26,0,12,55
10,Success,47,25,6,14,47
10,Success,42,32,1,13,42
10,Success,39,32,9,14,39
10,Success,44,36,0,13,44
10,Success,45,33,0,13,45
10,Success,52,28,0,12,52
10,Success,44,31,3,11,44
10,Success,42,38,0,9,42
10,Success,38,28,10,16,38
10,Success,53,19,0,18,53
10,Success,52,18,2,16,52
10,Success,54,23,1,15,54
10,Success,47,26,8,8,47
10,Success,45,26,6,15,45
10,Success,46,28,0,16,46
10,Success,47,29,4,10,47
10,Success,52,19,6,9,52
10,Success,46,28,5,11,46
10,Success,57,17,2,13,57
10,Success,51,23,0,13,51
10,Success,47,26,1,14,47
10,Success,46,32,0,13,46
10,Success,49,23,4,13,49
10,Success,46,21,7,15,46
10,Success,51,19,13,10,51
10,Success,48,23,12,12,48
10,Success,44,31,0,14,44
10,Success,51,20,1,17,51
10,Success,51,18,5,18,51
10,Success,49,25,0,11,49
10,Success,46,34,0,13,46
10,Success,48,35,0,7,48
10,Success,53,27,0,13,53
10,Success,53,27,2,10,53
10,Success,48,32,0,13,48
10,Success,44,29,7,13,44
10,Success,47,23,0,14,47
10,Success,49,24,2,14,49
10,Success,54,22,0,13,54
10,Success,49,23,4,15,49
10,Success,55,19,1,12,55
10,Success,49,26,5,9,49
10,Success,49,24,0,15,49
10,Success,51,23,0,12,51
10,Success,48,23,0,19,48
10,Success,50,28,0,13,50
10,Success,48,29,1,11,48
10,Success,47,26,0,14,47
10,Success,50,16,10,14,50
10,Success,49,28,2,8,49
10,Success,47,23,11,9,47
10,Success,56,23,0,12,56
10,Success,40,31,0,19,40
10,Success,40,27,6,18,40
10,Success,50,23,0,19,50
10,Success,48,27,0,15,48
10,Success,44,35,0,13,44
10,Success,49,22,9,11,49
10,Success,39,38,0,17,39
10,Success,41,28,2,19,41
10,Success,50,22,6,13,50
10,Success,54,24,0,12,54
10,Success,52,18,2,12,52
10,Success,43,34,7,12,43
10,Success,55,28,0,12,55
10,Success,46,30,3,13,46
10,Success,49,26,0,13,49
10,Success,51,26,0,13,51
10,Success,55,16,9,11,55
10,Success,54,22,1,12,54
10,Success,47,31,0,11,47
10,Success,49,32,0,11,49
10,Success,38,38,0,14,38
10,Success,47,26,2,16,47
10,Success,50,24,0,13,50
10,Success,48,28,1,13,48
10,Success,48,31,0,14,48
10,Success,57,12,2,14,57
10,Success,45,22,10,17,45
10,Success,51,24,1,14,51
10,Success,52,28,0,12,52
10,Success,53,21,1,12,53
10,Success,44,36,0,9,44
10,Success,48,16,11,16,48
10,Success,50,20,0,16,50
10,Success,50,28,5,11,50
10,Success,48,26,0,16,48
10,Success,46,27,5,11,46
10,Success,47,26,4,13,47
10,Success,51,27,6,7,51
10,Success,49,24,3,13,49
10,Success,55,23,0,11,55
10,Success,49,24,0,15,49
10,Success,47,33,0,14,47
10,Success,50,24,0,16,50
10,Success,50,25,0,15,50
10,Success,54,18,0,18,54
10,Success,50,30,0,8,50
10,Success,48,20,5,16,48
10,Success,45,30,1,13,45
10,Success,42,32,0,14,42
10,Success,48,27,0,15,48
10,Success,50,20,5,17,50
10,Success,36,36,6,12,36
10,Success,56,18,1,11,56
10,Success,47,28,0,12,47
10,Success,54,23,3,6,54
10,Success,49,24,0,16,49
10,Success,42,31,4,11,42
10,Success,44,28,0,19,44
10,Success,46,22,4,15,46
10,Success,42,33,0,11,42
10,Success,52,22,1,11,52
10,Success,42,38,0,17,42
10,Success,47,38,0,10,47
10,Success,41,39,0,6,41
10,Success,49,29,4,6,49
10,Success,42,35,1,11,42
10,Success,43,35,0,13,43
10,Success,48,22,5,13,48
10,Success,50,21,1,16,50
10,Success,47,20,6,17,47
10,Success,51,24,0,12,51
10,Success,46,25,1,16,46
10,Success,53,32,0,8,53
10,Success,42,33,0,12,42
10,Success,43,30,8,12,43
10,Success,49,24,1,13,49
10,Success,40,37,0,13,40
10,Success,48,30,0,8,48
10,Success,55,19,1,10,55
10,Success,47,25,0,12,47
10,Success,48,24,9,12,48
10,Success,46,25,6,15,46
10,Success,47,37,0,9,47
10,Success,53,24,4,11,53
10,Success,55,21,0,16,55
10,Success,47,25,2,14,47
10,Success,53,26,0,12,53
10,Success,49,33,0,9,49
10,Success,50,25,0,17,50
10,Success,49,28,2,9,49
10,Success,47,21,0,20,47
10,Success,49,23,6,14,49
10,Success,51,22,2,12,51
10,Success,42,34,0,13,42
10,Success,47,25,1,18,47
10,Success,54,28,0,11,54
10,Success,47,23,3,17,47
10,Success,51,30,0,8,51
10,Success,35,38,8,12,35
10,Success,54,25,4,9,54
10,Success,50,27,2,8,50
10,Success,49,31,0,11,49
10,Success,46,34,0,13,46
10,Success,42,32,0,15,42
10,Success,51,22,0,14,51
10,Success,50,32,0,7,50
10,Success,45,33,0,14,45
10,Success,51,28,0,11,51
10,Success,54,25,1,7,54
10,Success,47,31,0,13,47
10,Success,48,21,8,16,48
10,Success,54,24,0,13,54
10,Success,50,22,2,12,50
10,Success,56,22,0,9,56
10,Success,45,24,3,17,45
10,Success,50,20,0,16,50
10,Success,39,22,12,17,39
10,Success,55,29,0,6,55
10,Success,50,26,3,10,50
10,Success,52,24,2,13,52
10,Success,44,37,0,11,44
10,Success,45,21,6,20,45
10,Success,47,28,2,11,47
10,Success,46,22,7,16,46
10,Success,53,24,3,11,53
10,Success,42,38,0,14,42
10,Success,47,30,2,10,47
10,Success,49,25,0,11,49
10,Success,48,30,2,9,48
10,Success,51,28,0,12,51
10,Success,52,19,5,17,52
10,Success,54,22,0,11,54
10,Success,50,25,6,10,50
10,Success,47,28,0,12,47
10,Success,49,24,2,13,49
10,Success,51,22,0,14,51
10,Success,60,18,0,7,60
10,Success,55,23,0,8,55
10,Success,47,33,0,12,47
10,Success,48,31,0,6,48
10,Success,43,29,1,16,43
10,Success,49,29,0,11,49
10,Success,44,31,0,13,44
10,Success,48,26,0,17,48
10,Success,44,25,9,11,44
10,Success,54,20,1,15,54
10,Success,42,32,0,16,42
10,Success,43,34,0,12,43
10,Success,44,32,0,17,44
10,Success,49,26,2,9,49
10,Success,52,22,5,9,52
10,Success,48,25,9,10,48
10,Success,39,25,4,19,39
10,Success,50,28,1,9,50
10,Success,50,25,8,10,50
10,Success,49,24,0,15,49
10,Success,56,25,0,9,56
10,Success,51,16,12,10,51
10,Success,51,28,0,9,51
10,Success,45,30,0,14,45
10,Success,43,26,3,19,43
10,Success,57,25,0,10,57
10,Success,44,28,0,15,44
10,Success,39,32,2,14,39
10,Success,55,18,8,10,55
10,Success,53,20,0,13,53
10,Success,52,20,0,15,52
10,Success,58,21,3,8,58
10,Success,43,31,0,16,43
10,Success,50,21,6,15,50
10,Success,50,24,4,8,50
10,Success,40,33,0,16,40
10,Success,47,23,0,16,47
10,Success,49,29,0,9,49
10,Success,50,18,2,17,50
10,Success,50,23,3,12,50
10,Success,51,24,0,16,51
10,Success,44,23,5,16,44
10,Success,41,29,7,16,41
10,Success,48,31,2,10,48
10,Success,49,29,0,11,49
10,Success,54,14,7,13,54
10,Success,48,22,8,11,48
10,Success,60,19,1,11,60
10,Success,55,21,0,11,55
10,Success,52,28,0,7,52
10,Success,40,30,1,16,40
10,Success,51,26,3,9,51
10,Success,40,31,10,13,40
10,Success,44,26,5,15,44
10,Success,44,32,0,13,44
10,Success,43,28,3,13,43
10,Success,49,24,0,15,49
10,Success,41,34,3,11,41
10,Success,51,29,0,9,51
10,Success,45,40,0,5,45
10,Success,42,27,0,19,42
10,Success,45,25,5,17,45
10,Success,47,24,1,17,47
10,Success,49,34,3,9,49
10,Success,51,26,0,11,51
10,Success,44,25,6,18,44
10,Success,53,26,0,10,53
10,Success,49,28,3,12,49
10,Success,49,22,8,11,49
10,Success,32,33,12,16,32
10,Success,48,21,1,14,48
10,Success,48,20,2,19,48
10,Success,50,28,0,8,50
10,Success,53,23,0,14,53
10,Success,46,32,0,11,46
10,Success,45,36,0,7,45
10,Success,41,28,12,13,41
10,Success,49,29,0,12,49
10,Success,48,31,0,11,48
10,Success,53,28,0,9,53
10,Success,39,35,3,13,39
10,Success,44,35,0,9,44
10,Success,50,22,0,12,50
10,Success,56,26,0,6,56
10,Success,45,33,0,10,45
10,Success,45,27,5,16,45
10,Success,48,24,4,12,48
10,Success,48,25,6,11,48
10,Success,42,30,3,16,42
10,Success,54,22,0,12,54
10,Success,48,29,0,9,48
10,Success,49,25,3,14,49
10,Success,45,34,0,10,45
10,Success,51,25,2,12,51
10,Success,58,17,3,12,58
10,Success,47,21,14,8,47
10,Success,47,26,1,14,47
10,Success,41,38,0,7,41
10,Success,53,15,2,12,53
10,Success,53,26,0,11,53
10,Success,55,24,3,6,55
10,Success,47,30,0,11,47
10,Success,54,25,1,7,54
10,Success,54,24,1,8,54
10,Success,52,27,3,11,52
10,Success,49,23,5,12,49
10,Success,51,25,0,12,51
10,Success,58,18,0,10,58
10,Success,46,25,0,17,46
10,Success,42,29,6,14,42
10,Success,49,30,0,12,49
10,Success,53,23,0,12,53
10,Success,61,20,0,11,61
10,Success,53,25,0,9,53
10,Success,43,25,7,11,43
10,Success,51,30,1,8,51
10,Success,46,32,0,11,46
10,Success,52,19,4,17,52
10,Success,50,27,0,11,50
10,Success,47,33,0,10,47
10,Success,50,22,4,16,50
10,Success,51,24,0,12,51
10,Success,56,23,0,9,56
10,Success,43,39,0,9,43
10,Success,51,28,0,10,51
10,Success,46,31,0,13,46
10,Success,47,26,0,15,47
10,Success,40,27,8,13,40
10,Success,47,20,6,15,47
10,Success,52,32,0,10,52
10,Success,44,35,0,8,44
10,Success,55,21,0,12,55
10,Success,49,33,0,7,49
10,Success,45,36,0,11,45
10,Success,48,31,0,9,48
10,Success,39,34,0,16,39
10,Success,49,26,3,12,49
10,Success,44,33,0,13,44
10,Success,47,23,5,16,47
10,Success,46,26,0,18,46
10,Success,44,33,1,11,44
10,Success,46,30,1,9,46
10,Success,52,25,0,13,52
10,Success,46,31,1,9,46
10,Success,52,24,1,11,52
10,Success,45,35,2,7,45
10,Success,46,31,0,13,46
10,Success,53,27,0,11,53
10,Success,55,29,0,8,55
10,Success,47,37,0,11,47
10,Success,46,26,5,13,46
10,Success,46,25,1,12,46
10,Success,52,31,0,11,52
10,Success,49,32,0,8,49
10,Success,49,16,6,18,49
10,Success,51,23,2,12,51
10,Success,46,25,3,15,46
10,Success,50,25,5,13,50
10,Success,47,25,0,16,47
10,Success,47,33,3,8,47
10,Success,54,24,0,8,54
10,Success,48,19,3,20,48
10,Success,58,21,1,13,58
10,Success,49,26,2,11,49
10,Success,48,22,1,16,48
10,Success,51,33,0,8,51
10,Success,50,22,8,11,50
10,Success,47,21,8,16,47
10,Success,44,33,3,10,44
10,Success,54,24,2,9,54
10,Success,44,27,4,11,44
10,Success,47,30,0,16,47
10,Success,53,25,2,11,53
10,Success,48,25,3,6,48
10,Success,40,35,0,16,40
10,Success,46,36,0,10,46
10,Success,44,29,0,13,44
10,Success,45,32,0,13,45
10,Success,49,30,0,13,49
10,Success,54,22,0,15,54
10,Success,50,27,3,9,50
10,Success,46,20,5,15,46
10,Success,49,21,1,15,49
10,Success,40,32,1,14,40
10,Success,47,27,2,11,47
10,Success,53,31,0,8,53
10,Success,50,23,0,14,50
10,Success,55,22,0,11,55
10,Success,49,29,2,10,49
10,Success,36,36,0,20,36
10,Success,48,25,6,13,48
10,Success,48,31,0,8,48
10,Success,54,29,0,8,54
10,Success,56,19,0,12,56
10,Success,51,31,0,9,51
10,Success,47,32,0,15,47
10,Success,51,18,5,17,51
10,Success,45,27,1,15,45
10,Success,53,19,2,15,53
10,Success,47,30,0,10,47
10,Success,61,20,0,4,61
10,Success,46,28,0,16,46
10,Success,50,29,0,13,50
10,Success,51,30,5,5,51
10,Success,47,26,1,11,47
10,Success,48,35,0,10,48
10,Success,45,27,5,12,45
10,Success,49,23,0,14,49
10,Success,47,31,6,10,47
10,Success,49,24,0,15,49
10,Success,47,28,4,10,47
10,Success,41,39,0,15,41
10,Success,46,27,0,14,46
10,Success,52,23,0,14,52
10,Success,46,29,0,17,46
10,Success,55,20,1,13,55
10,Success,42,24,4,18,42
10,Success,59,17,4,8,59
10,Success,46,27,5,11,46
10,Success,52,26,2,6,52
10,Success,43,24,0,21,43
10,Success,57,26,0,8,57
10,Success,50,32,0,12,50
10,Success,50,23,2,12,50
10,Success,42,41,0,8,42
10,Success,53,23,0,14,53
10,Success,52,20,4,15,52
10,Success,49,29,0,11,49
10,Success,51,30,0,8,51
10,Success,45,32,0,11,45
10,Success,48,27,0,14,48
10,Success,49,21,0,17,49
10,Success,54,25,5,6,54
10,Success,44,32,0,11,44
10,Success,46,26,0,15,46
10,Success,48,26,0,15,48
10,Success,44,32,0,14,44
10,Success,56,24,0,10,56
10,Success,52,26,1,9,52
10,Success,48,32,0,7,48
10,Success,45,25,0,18,45
10,Success,54,23,4,10,54
10,Success,47,20,2,19,47
10,Success,44,24,2,19,44
10,Success,42,21,9,17,42
10,Success,53,26,1,9,53
10,Success,54,29,0,6,54
10,Success,46,26,1,12,46
10,Success,47,27,0,13,47
10,Success,48,23,2,14,48
10,Success,49,33,0,12,49
10,Success,52,22,8,9,52
10,Success,49,24,1,11,49
10,Success,42,34,0,14,42
10,Success,53,21,3,11,53
10,Success,50,32,0,11,50
10,Success,52,22,1,11,52
10,Success,49,30,0,9,49
10,Success,45,26,5,16,45
10,Success,46,23,0,17,46
10,Success,47,25,2,12,47
10,Success,41,35,0,16,41
10,Success,48,23,3,15,48
10,Success,46,31,3,9,46
10,Success,53,22,8,7,53
10,Success,40,32,6,11,40
10,Success,46,30,1,12,46
10,Success,44,25,1,14,44
10,Success,48,26,2,14,48
10,Success,40,30,5,13,40
10,Success,49,28,0,13,49
10,Success,52,20,0,13,52
10,Success,40,38,0,14,40
10,Success,56,17,3,13,56
10,Success,50,23,2,14,50
10,Success,52,21,7,12,52
10,Success,57,22,1,4,57
10,Success,50,26,3,11,50
10,Success,46,28,2,11,46
10,Success,47,17,5,17,47
10,Success,38,36,0,18,38
10,Success,48,30,0,14,48
10,Success,46,23,3,15,46
10,Success,47,25,0,15,47
10,Success,46,32,0,12,46
10,Success,52,23,5,9,52
10,Success,54,29,0,9,54
10,Success,51,23,3,12,51
10,Success,50,26,4,7,50
10,Success,41,32,2,13,41
10,Success,48,23,3,13,48
10,Success,55,22,0,11,55
10,Success,42,35,0,12,42
10,Success,55,24,0,12,55
