eventId,numInvited,numEventOrganizers,ParticipationRate,eventOutcomeModel2
288776158,150,1,0.0533,1
288776303,138,1,0.0725,1
288778087,100,3,0.2900,1
288830801,42,1,0.0238,0
288831308,42,1,0.0238,0
288842256,42,1,0.0238,0
288844423,42,1,0.0238,0
288860658,42,1,0.0238,0
288860659,42,1,0.0238,0
288882218,42,1,0.0238,0
288887286,120,1,0.0750,1
288887416,120,1,0.0833,1
288887458,120,1,0.0750,1
288902802,42,1,0.0238,0
288924779,42,1,0.0238,0
288926005,42,1,0.0238,0
288944588,10,1,0.5000,0
288944602,60,1,0.2833,1
288944608,40,1,0.0750,1
288971231,42,1,0.0238,0
288972488,42,1,0.0238,0
288991046,35,1,0.0571,0
288992086,42,1,0.0238,0
289008262,42,1,0.0238,0
289025249,15,2,0.9333,1
289028983,42,1,0.0238,0
289069145,42,1,0.0238,0
289069146,42,1,0.0238,0
289114806,42,1,0.0238,0
289114807,42,1,0.0238,0
289133889,42,1,0.0238,0
289144808,80,3,0.2000,1
289151375,42,1,0.0238,0
289169500,42,1,0.0238,0
289210448,42,1,0.0238,0
289255221,42,1,0.0238,0
289275568,42,1,0.0238,0
289293492,42,1,0.0238,0
289313591,42,1,0.0238,0
289353623,42,1,0.0238,0
289356687,42,1,0.0238,0
289400273,42,1,0.0238,0
289419421,42,1,0.0238,0
289436390,42,1,0.0238,0
289457450,42,1,0.0238,0
289500342,42,1,0.0238,0
289548085,42,1,0.0238,0
289567641,42,1,0.0238,0
289586234,42,1,0.0238,0
289607630,42,1,0.0238,0
289648433,28,1,0.1071,0
289695154,42,1,0.0238,0
289714181,42,1,0.0238,0
289731907,42,1,0.0238,0
289753177,42,1,0.0238,0
289793498,42,1,0.0238,0
289837462,42,1,0.0238,0
289855646,42,1,0.0238,0
289874018,42,1,0.0238,0
289894002,42,1,0.0238,0
289932232,42,1,0.0238,0
289935294,80,3,0.1375,1
289970263,42,1,0.0238,1
289987929,42,1,0.0238,0
289993027,80,3,0.1750,1
290005311,42,1,0.0238,0
