Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
50.0,100,43.0,57.0,48.48,Failed
40.48,100,81.0,19.0,47.74,Success
50.0,100,48.0,52.0,48.48,Failed
22.5,100,100.0,0.0,48.41,Success
97.5,100,0.0,100.0,48.6,Failed
36.25,100,100.0,0.0,49.19,Success
41.25,100,97.0,3.0,48.79,Success
25.0,100,100.0,0.0,50.57,Success
37.5,100,99.0,1.0,49.3,Success
37.5,100,98.0,2.0,48.31,Success
45.83,100,79.0,21.0,48.63,Success
40.83,100,96.0,4.0,48.47,Success
33.75,100,100.0,0.0,47.6,Success
43.75,100,81.0,19.0,47.41,Success
41.67,100,94.0,6.0,48.62,Success
39.17,100,100.0,0.0,48.47,Success
43.75,100,85.0,15.0,47.91,Success
43.75,100,82.0,18.0,48.65,Success
50.0,100,39.0,61.0,48.04,Failed
41.67,100,60.0,40.0,49.08,Success
1.79,100,100.0,0.0,47.77,Success
2.08,100,100.0,0.0,47.75,Success
1.79,100,100.0,0.0,47.36,Success
1.79,100,100.0,0.0,47.79,Success
50.0,100,52.0,48.0,48.75,Failed
60.0,100,20.0,80.0,52.36,Failed
19.05,100,100.0,0.0,49.63,Success
21.11,100,100.0,0.0,48.3,Success
19.05,100,100.0,0.0,47.96,Success
50.0,100,47.0,53.0,47.68,Failed
75.56,100,0.0,100.0,48.8,Failed
65.0,100,8.0,92.0,50.3,Failed
5.19,100,100.0,0.0,49.47,Success
3.3300000000000005,100,100.0,0.0,49.18,Success
35.0,100,99.0,1.0,49.2,Success
13.33,100,100.0,0.0,48.93,Success
23.75,100,100.0,0.0,49.17,Success
1.7500000000000002,100,100.0,0.0,49.29,Success
0.0,100,100.0,0.0,49.9,Success
42.5,100,87.0,13.0,48.09,Success
40.0,100,93.0,7.0,48.95,Success
50.0,100,44.0,56.0,48.44,Failed
61.11,100,23.0,77.0,49.44,Failed
41.67,100,70.0,30.0,48.71,Success
26.25,100,100.0,0.0,47.96,Success
22.5,100,100.0,0.0,48.83,Success
27.500000000000004,100,100.0,0.0,48.32,Success
46.25,100,79.0,21.0,48.99,Success
42.5,100,91.0,9.0,48.7,Success
36.25,100,100.0,0.0,47.8,Success
28.749999999999996,100,100.0,0.0,49.39,Success
22.5,100,100.0,0.0,49.61,Success
46.25,100,82.0,18.0,49.23,Success
31.25,100,100.0,0.0,49.8,Success
40.0,100,99.0,1.0,49.12,Success
42.5,100,89.0,11.0,49.14,Success
23.75,100,100.0,0.0,49.46,Success
2.3800000000000003,100,100.0,0.0,50.31,Success
2.3800000000000003,100,100.0,0.0,48.21,Success
2.3800000000000003,100,100.0,0.0,48.1,Success
2.3800000000000003,100,100.0,0.0,49.43,Success
36.25,100,100.0,0.0,48.22,Success
25.0,100,100.0,0.0,50.57,Success
36.25,100,100.0,0.0,49.42,Success
2.3800000000000003,100,100.0,0.0,48.62,Success
2.3800000000000003,100,100.0,0.0,47.45,Success
2.3800000000000003,100,100.0,0.0,47.79,Success
